id,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36,ExtraCol37,storage_class,region,access_tier,other_details,event_date,login_time,logout_time,last_activity_ts,Headline_cnn,Description_cnn,Title_sc,Speaker (Party)(or nominated by)_sc,Speaker and title_sc,Statements_sc
67,low,67,Y,low,229,Y,low,264,X,medium,451,Y,low,321,X,low,90,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""2B7D-C95A-B1BC"",""description"":""archive storage toronto dual-region"",""original_region"":""northamerica-northeast2""}",10-12-2024,07:58:00,11:57:00,10-12-2024 11:47,Reunion Netflix Cnn,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
68,low,420,Z,low,457,Y,high,484,Z,high,142,Y,medium,241,X,low,183,ARCHIVE,asia,ARCHIVE,"{""sku_id"":""D496-1EA6-CD98"",""description"":""archive storage delhi"",""original_region"":""asia-south2""}",08-07-2024,15:14:00,18:03:00,08-07-2024 17:55,Assassination Question,Said Alicia Keys,Senator,D,Senator Mazie Hirono (HI),Chairman Ask Question
69,high,182,Y,medium,229,Y,medium,68,Z,medium,448,Z,medium,396,Z,high,11,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""BDF2-208A-3B0C"",""description"":""archive storage netherlands"",""original_region"":""europe-west4""}",11-02-2024,20:39:00,21:50:00,11-02-2024 21:45,Abortion Travel,Said Alicia Keys,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
70,high,364,X,high,291,Y,high,364,X,high,362,Y,low,234,X,low,275,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""2316-6FDA-8E11"",""description"":""coldline storage london"",""original_region"":""europe-west2""}",21-10-2024,18:44:00,20:31:00,21-10-2024 20:26,Voice Cnn Masai,International Women,Senator,D,Senator Mazie Hirono (HI),Chairman Ask Question
71,medium,340,X,high,122,Z,medium,413,X,high,231,Y,high,68,Z,low,229,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""ADE6-68BC-B69E"",""description"":""autoclass standard storage osaka/tokyo dual-region"",""original_region"":""asia1""}",24-01-2024,20:17:00,22:52:00,24-01-2024 22:51,Basketball Legend Says,Point Tally Nba,Chairman,R,Senator Chuck Grassley (IA),Analyze Senator
72,medium,364,Y,medium,354,Z,low,359,Z,low,188,Y,high,136,X,low,251,COLDLINE,oceania,RARE_ACCESS,"{""sku_id"":""3179-9FCA-E3AC"",""description"":""coldline storage melbourne dual-region"",""original_region"":""australia-southeast2""}",07-10-2024,13:44:00,16:56:00,07-10-2024 16:46,Reunion Netflix Cnn,Turned Movie Different,Senator,R,Senator Orrin Hatch (UT),Kozinski Phone Senator
73,medium,10,X,low,473,Y,medium,490,X,low,406,Z,high,21,Y,low,494,COLDLINE,asia,RARE_ACCESS,"{""sku_id"":""25F5-F72F-F874"",""description"":""coldline storage dammam"",""original_region"":""me-central2""}",13-04-2024,19:18:00,20:18:00,13-04-2024 20:16,Basketball Legend Says,Point Tally Nba,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
74,high,487,Y,high,338,Y,high,217,X,medium,418,Y,high,351,Y,medium,327,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""D834-715E-7357"",""description"":""autoclass coldline storage iowa/south carolina dual-region"",""original_region"":""nam4""}",28-07-2024,21:38:00,00:28:00,29-07-2024 00:19,Reunion Netflix Cnn,Turned Movie Different,Senator,D,Senator Sheldon Whitehouse (RI),Executive Privilege Limit
75,low,216,Y,medium,147,Y,low,270,Z,medium,457,Y,medium,486,X,low,208,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""FF44-B6BB-8EB3"",""description"":""coldline storage finland dual-region"",""original_region"":""europe-north1""}",17-08-2024,17:22:00,19:06:00,17-08-2024 19:00,Reunion Netflix Cnn,Turned Movie Different,Senator,D,Senator Patrick Leahy (VT),Executive Privilege Limit
76,low,55,X,medium,196,X,high,76,X,medium,231,X,low,189,Y,low,391,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""3041-B9C2-F02A"",""description"":""coldline storage netherlands dual-region"",""original_region"":""europe-west4""}",07-11-2024,17:28:00,18:59:00,07-11-2024 18:50,Reunion Netflix Cnn,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Kavanaugh Dissents President
77,medium,464,Y,high,464,Y,low,187,X,high,133,Y,medium,366,X,medium,184,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""FD67-6779-FB1E"",""description"":""autoclass archive storage europe-west5"",""original_region"":""europe-west5""}",15-12-2024,21:42:00,01:31:00,16-12-2024 01:28,Golf Black Professional,Point Tally Nba,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
78,low,396,Z,medium,229,Y,low,79,X,low,435,Y,high,491,X,high,378,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""9729-6081-2B55"",""description"":""archive storage milan dual-region"",""original_region"":""europe-west8""}",07-11-2024,14:26:00,15:23:00,07-11-2024 15:17,Basketball Legend Says,Point Tally Nba,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
79,low,41,X,medium,110,Z,medium,395,Y,medium,151,Y,high,196,X,low,466,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""F1C6-D2BA-4A83"",""description"":""durable reduced availability storage columbus"",""original_region"":""us-east5""}",18-06-2024,18:02:00,19:21:00,18-06-2024 19:12,Basketball Legend Says,Point Tally Nba,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
80,medium,218,Y,high,53,Y,low,391,Z,low,376,Y,low,441,X,medium,454,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""F026-6944-846C"",""description"":""standard storage frankfurt/zurich dual-region"",""original_region"":""eur8""}",15-05-2024,08:42:00,09:47:00,15-05-2024 09:40,Bob Baffert Suspended,Lomachenko,Chairman,R,Senator Chuck Grassley (IA),Analyze Senator
81,low,453,Z,low,320,Y,medium,96,Z,low,254,X,medium,8,Z,medium,259,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""89DB-C7FE-AF68"",""description"":""nearline storage turin dual-region"",""original_region"":""europe-west12""}",25-06-2024,15:05:00,19:05:00,25-06-2024 19:00,Assassination Question,Actor Bob Odenkirk,Senator,D,Senator Kamala Harris (CA),Senator Blumenthal Chair
82,low,341,X,high,229,X,medium,401,Y,medium,293,Y,low,338,X,high,234,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""2C07-1488-8F24"",""description"":""archive storage belgium/london dual-region"",""original_region"":""eur5""}",16-06-2024,11:27:00,12:17:00,16-06-2024 12:12,Mbappe Neymar Prove,Hold Fastest Marathon,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
83,medium,97,Z,high,66,Y,low,160,Z,medium,104,Z,low,83,Y,high,198,COLDLINE,asia,RARE_ACCESS,"{""sku_id"":""2D3D-C91F-7E7C"",""description"":""coldline storage asia multi-region"",""original_region"":""asia""}",04-05-2024,15:17:00,18:47:00,04-05-2024 18:42,Bob Baffert Suspended,Lomachenko,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
84,high,350,Y,medium,470,Z,high,364,Y,medium,124,Y,low,390,X,high,267,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""DC97-82D4-0359"",""description"":""autoclass standard storage belgium/london dual-region"",""original_region"":""eur5""}",20-04-2024,15:57:00,18:10:00,20-04-2024 18:08,Golf Black Professional,Point Tally Nba,Senator,D,Senator Chris Coons (DE),Executive Privilege Limit
85,medium,94,X,medium,275,Y,low,469,Z,low,326,Y,low,4,X,medium,468,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""FF88-BF44-9313"",""description"":""autoclass coldline storage paris dual-region"",""original_region"":""europe-west9""}",06-05-2024,13:21:00,13:37:00,06-05-2024 13:35,Companies Pulling Russia,Help Russia,Senator,D,Senator Amy Klobuchar (MN),Executive Privilege Limit
86,high,175,Z,low,124,Y,medium,414,Y,high,129,Y,medium,416,X,low,437,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""FEC5-B147-BD88"",""description"":""autoclass coldline storage mexico"",""original_region"":""northamerica-south1""}",23-10-2024,10:39:00,13:05:00,23-10-2024 13:00,Companies Pulling Russia,Help Russia,Senator,D,Senator Cory Booker (NJ),Chairman Ask Question
87,low,97,Y,low,472,X,low,93,X,medium,334,Y,low,198,X,high,303,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""F18D-89DB-7C30"",""description"":""nearline storage toronto"",""original_region"":""northamerica-northeast2""}",22-04-2024,18:01:00,21:35:00,22-04-2024 21:27,Companies Pulling Russia,Lomachenko,Senator,D,Senator Richard Blumenthal (D-CT),Executive Privilege Limit
88,low,346,Z,high,349,Y,medium,90,Z,medium,495,X,low,118,Z,medium,141,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""FDFD-25D3-9C09"",""description"":""standard storage salt lake city dual-region"",""original_region"":""us-west3""}",29-06-2024,17:10:00,19:01:00,29-06-2024 18:59,Mbappe Neymar Prove,Lomachenko,Senator,D,Senator Cory Booker (NJ),Analyze Senator
89,low,465,Y,medium,64,Z,low,56,Z,medium,279,Y,high,277,Y,high,188,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""D5C1-AAF1-5B8F"",""description"":""nearline storage northern virginia"",""original_region"":""us-east4""}",02-03-2024,21:52:00,01:13:00,03-03-2024 01:09,Bob Baffert Suspended,Point Tally Nba,Senator,D,Senator Sheldon Whitehouse (RI),Executive Privilege Limit
90,high,22,Z,high,413,Y,low,420,X,medium,462,X,high,494,X,high,122,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""3081-BF3D-2E14"",""description"":""coldline storage mexico"",""original_region"":""northamerica-south1""}",25-07-2024,06:59:00,09:00:00,25-07-2024 08:55,Golf Black Professional,Said Alicia Keys,Senator,D,Senator Dick Durbin (IL),Kavanaugh Dissents President
91,low,301,Z,low,29,Z,medium,273,X,medium,85,Z,high,80,X,high,93,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""E9D3-E7C5-94A2"",""description"":""autoclass coldline storage los angeles"",""original_region"":""us-west2""}",08-12-2024,20:32:00,21:05:00,08-12-2024 20:55,Golf Black Professional,Point Tally Nba,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
92,low,124,X,high,229,Y,medium,77,Z,low,69,Y,medium,155,X,medium,4,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""5ACD-E7DB-7BFA"",""description"":""archive storage madrid"",""original_region"":""europe-southwest1""}",25-06-2024,10:08:00,14:02:00,25-06-2024 13:56,Smitten Aussie Tennis,Hold Fastest Marathon,Senator,R,Senator John Cornyn (TX),Analyze Senator
93,low,375,Y,high,196,Z,low,293,Z,medium,417,X,medium,319,X,medium,386,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""A4F8-B0EC-4F8E"",""description"":""archive storage dallas"",""original_region"":""us-south1""}",28-05-2024,09:42:00,11:02:00,28-05-2024 10:53,Bob Baffert Suspended,Said Alicia Keys,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
94,high,69,Z,medium,146,Y,low,264,Z,medium,102,Y,high,46,Y,high,369,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""3480-CB61-4864"",""description"":""nearline storage stockholm"",""original_region"":""europe-north2""}",02-04-2024,07:32:00,09:26:00,02-04-2024 09:22,Golf Black Professional,Hold Fastest Marathon,Senator,D,Senator Cory Booker (NJ),Chairman Ask Question
95,medium,183,X,low,26,Z,low,298,Z,low,323,Z,medium,477,Y,high,40,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""9ADF-4F85-635A"",""description"":""autoclass nearline storage doha"",""original_region"":""me-central1""}",15-04-2024,08:58:00,12:51:00,15-04-2024 12:47,Golf Black Professional,Point Tally Nba,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
96,medium,102,Y,high,465,Y,medium,317,X,high,53,Z,low,261,Z,low,343,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""48FC-D3ED-FA72"",""description"":""nearline storage montreal"",""original_region"":""northamerica-northeast1""}",25-12-2024,10:59:00,12:28:00,25-12-2024 12:27,Mbappe Neymar Prove,Lomachenko,Senator,D,Senator Cory Booker (NJ),Analyze Senator
97,low,436,Y,high,279,Y,high,82,Z,medium,43,X,high,495,X,medium,82,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""361C-27C1-D7CE"",""description"":""nearline storage zurich"",""original_region"":""europe-west6""}",21-02-2024,19:33:00,21:07:00,21-02-2024 21:01,Mbappe Neymar Prove,Lomachenko,Chairman,R,Senator Chuck Grassley (IA),Analyze Senator
98,high,41,X,low,303,Y,low,193,X,low,100,X,medium,207,Z,medium,138,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""37C4-203D-1024"",""description"":""coldline storage us multi-region"",""original_region"":""us""}",20-07-2024,15:15:00,15:59:00,20-07-2024 15:50,Mbappe Neymar Prove,Actor Bob Odenkirk,Senator,D,Senator Cory Booker (NJ),Executive Privilege Limit
99,low,290,Z,low,229,Y,low,360,X,low,279,Y,medium,416,X,low,129,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""37D3-343A-3DF1"",""description"":""nearline storage frankfurt/zurich dual-region"",""original_region"":""eur8""}",19-06-2024,20:45:00,00:07:00,20-06-2024 00:04,Smitten Aussie Tennis,Lomachenko,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
100,low,60,Z,low,254,Z,high,454,Y,low,145,Y,low,165,Z,medium,64,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""B318-1FE2-6BFD"",""description"":""coldline storage los angeles dual-region"",""original_region"":""us-west2""}",20-12-2024,14:37:00,17:26:00,20-12-2024 17:24,Reunion Netflix Cnn,Niger State Television,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
101,high,299,Z,high,144,X,high,68,Z,medium,111,Z,medium,221,Z,high,364,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""BEA8-18F6-120A"",""description"":""nearline storage berlin"",""original_region"":""europe-west10""}",10-06-2024,18:38:00,19:02:00,10-06-2024 18:57,Golf Black Professional,Hold Fastest Marathon,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
102,high,383,Y,medium,389,Z,medium,285,X,medium,418,Z,medium,173,X,low,21,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""3A5D-58D0-6BE4"",""description"":""nearline storage doha"",""original_region"":""me-central1""}",23-03-2024,10:11:00,13:12:00,23-03-2024 13:05,Basketball Legend Says,Point Tally Nba,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
103,medium,376,Y,low,265,Z,low,474,X,medium,87,X,high,273,X,medium,202,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""E209-9471-B5A2"",""description"":""coldline storage oregon"",""original_region"":""us-west1""}",23-06-2024,19:59:00,20:33:00,23-06-2024 20:25,Basketball Legend Says,Point Tally Nba,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
104,high,16,Y,high,229,Z,high,300,X,medium,47,X,medium,111,X,medium,243,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""3C81-A91C-A94F"",""description"":""nearline storage london"",""original_region"":""europe-west2""}",25-11-2024,21:23:00,00:40:00,26-11-2024 00:30,Basketball Legend Says,Point Tally Nba,Chairman,R,Senator Chuck Grassley (IA),Kavanaugh Dissents President
105,medium,386,Z,high,422,Y,medium,113,Z,low,55,Y,medium,236,Z,high,288,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""3DF8-830A-D07C"",""description"":""coldline storage stockholm"",""original_region"":""europe-north2""}",31-03-2024,11:46:00,13:20:00,31-03-2024 13:16,Bob Baffert Suspended,Lomachenko,Senator,D,Senator Cory Booker (NJ),Analyze Senator
106,medium,148,Z,high,406,Z,low,291,Y,low,441,Y,high,419,X,low,96,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""3E75-94D0-A39A"",""description"":""nearline storage iowa/south carolina dual-region"",""original_region"":""nam4""}",28-04-2024,13:52:00,14:44:00,28-04-2024 14:36,Bob Baffert Suspended,Lomachenko,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
107,medium,340,X,low,123,X,medium,8,X,high,237,Y,low,77,X,medium,40,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""D85F-8CE9-F6EF"",""description"":""coldline storage south carolina"",""original_region"":""us-east1""}",28-08-2024,17:55:00,20:13:00,28-08-2024 20:05,Bob Baffert Suspended,Lomachenko,Senator,D,Senator Cory Booker (NJ),Analyze Senator
108,low,481,Y,low,324,Z,medium,244,X,low,279,Y,high,396,X,low,396,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""FD55-A8ED-B1A6"",""description"":""nearline storage mumbai"",""original_region"":""asia-south1""}",30-04-2024,13:39:00,16:47:00,30-04-2024 16:40,Winter Olympics Don,Qualifying Winter Olympics,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
109,high,59,X,high,460,Z,high,283,Z,medium,403,Z,low,427,X,medium,187,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""4D09-6DB4-A3D7"",""description"":""coldline storage warsaw dual-region"",""original_region"":""europe-central2""}",02-01-2024,10:32:00,11:55:00,02-01-2024 11:47,Winter Olympics Don,Qualifying Winter Olympics,Senator,D,Senator Sheldon Whitehouse (RI),Executive Privilege Limit
110,medium,181,Z,high,399,Z,high,28,Z,medium,140,Y,low,17,Z,high,475,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""403B-273A-D4AE"",""description"":""nearline storage hong kong"",""original_region"":""asia-east2""}",18-09-2024,06:54:00,08:56:00,18-09-2024 08:54,Smitten Aussie Tennis,Point Tally Nba,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
111,low,433,Y,high,99,Y,medium,101,Z,low,395,Z,medium,337,X,high,214,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""EBB8-4CFD-EA34"",""description"":""standard storage tel aviv"",""original_region"":""me-west1""}",27-08-2024,08:43:00,11:48:00,27-08-2024 11:40,Bob Baffert Suspended,Said Alicia Keys,Senator,D,Senator Patrick Leahy (VT),Judge Senator Leahy
112,medium,70,Y,medium,427,Y,medium,494,Y,high,228,Z,low,242,Y,medium,388,COLDLINE,asia,RARE_ACCESS,"{""sku_id"":""8E89-0AC8-66C0"",""description"":""coldline storage singapore"",""original_region"":""asia-southeast1""}",02-10-2024,15:13:00,15:40:00,02-10-2024 15:32,Bob Baffert Suspended,Lomachenko,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
113,medium,420,X,medium,28,Z,high,314,Z,medium,279,Y,low,318,Y,medium,57,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""DCA1-44F3-A410"",""description"":""nearline storage singapore dual-region"",""original_region"":""asia-southeast1""}",12-11-2024,18:21:00,19:00:00,12-11-2024 18:55,Golf Black Professional,Hold Fastest Marathon,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
114,medium,274,X,low,308,Z,low,68,Y,medium,264,Z,medium,147,Z,high,425,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""6E82-022D-E319"",""description"":""nearline storage frankfurt dual-region"",""original_region"":""europe-west3""}",20-12-2024,15:51:00,19:06:00,20-12-2024 19:00,Voice Cnn Masai,Hold Fastest Marathon,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
115,medium,498,Z,low,255,Z,medium,114,Y,low,279,Z,high,110,Z,medium,239,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""BD90-D1A2-6BFD"",""description"":""coldline storage dallas"",""original_region"":""us-south1""}",16-01-2024,21:50:00,00:03:00,17-01-2024 00:01,Voice Cnn Masai,Said Alicia Keys,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
116,medium,147,Z,low,18,Y,low,62,Y,high,102,X,low,143,Z,low,495,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""7446-C63C-1119"",""description"":""nearline storage warsaw"",""original_region"":""europe-central2""}",15-12-2024,08:09:00,10:48:00,15-12-2024 10:42,Winter Olympics Don,Said Alicia Keys,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
117,high,420,Y,medium,363,Z,high,214,Y,low,29,X,low,76,Y,high,350,ARCHIVE,asia,ARCHIVE,"{""sku_id"":""4B5C-6444-A206"",""description"":""archive storage asia multi-region"",""original_region"":""asia""}",04-10-2024,15:24:00,19:11:00,04-10-2024 19:09,Reunion Netflix Cnn,Point Tally Nba,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
118,high,397,Z,medium,148,Y,medium,272,Y,low,365,X,high,202,Z,high,370,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""4C20-3C91-DA5D"",""description"":""coldline storage belgium/london dual-region"",""original_region"":""eur5""}",06-12-2024,16:15:00,17:19:00,06-12-2024 17:12,Bob Baffert Suspended,Hold Fastest Marathon,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
119,high,59,X,medium,426,Y,high,89,Y,high,476,Y,high,436,X,medium,74,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""4CF0-069A-15D9"",""description"":""nearline storage europe multi-region"",""original_region"":""europe""}",09-05-2024,18:51:00,20:48:00,09-05-2024 20:39,Smitten Aussie Tennis,Point Tally Nba,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
120,low,163,Y,medium,439,Z,medium,400,Y,medium,289,Z,medium,389,Y,low,283,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""DB57-CF96-4A4C"",""description"":""nearline storage los angeles dual-region"",""original_region"":""us-west2""}",21-08-2024,06:39:00,07:46:00,21-08-2024 07:41,Smitten Aussie Tennis,Point Tally Nba,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
